id,Site,Distance,S1.blue
144750,A,0,0.327579661
144751,A,0,0.310531713
144752,A,0,0.300481521
144749,A,0,0.281185842
50598,A,0,0.314838585
57751,B,100,0.288793293
46738,B,100,0.313573259
46751,B,100,0.296867836
62799,B,100,0.311227109
61862,B,100,0.341798095
144756,C,300,0.305882759
38786,C,300,0.314570259
38796,C,300,0.318240483
41505,C,300,0.320989788
44807,C,300,0.31855053
44808,C,300,0.282705831
44809,C,300,0.280703922
78117,C,300,0.273223263
27065,C,300,0.307799736
44810,C,300,0.332716763
44811,C,300,0.323228513
44812,C,300,0.315779356
44814,C,300,0.281643262
58167,C,300,0.319091763
58168,C,300,0.307469597
58169,C,300,0.328964816
58170,C,300,0.307670974
144755,C,300,0.304561235
103200,C,300,0.290006426
27905,D,430,0.299066443
27906,D,430,0.307121646
27907,D,430,0.28254441
27908,D,430,0.305984477
27918,D,430,0.28054727
27919,D,430,0.307561785
27920,D,430,0.309096599
27921,D,430,0.282891044
27922,D,430,0.293615691
32274,D,430,0.310369154
32275,D,430,0.333508045
32276,D,430,0.289015916
32493,D,430,0.299439317
30749,D,430,0.314979924
23358,D,430,0.282625304
23360,D,430,0.278423222
23362,D,430,0.28840306
38233,E,640,0.30361616
144753,E,640,0.310513399
144732,F,760,0.235695857
93460,F,760,0.283689996
50599,F,760,0.238364148
38091,F,760,0.259936696
144727,F,760,0.261061624
38927,F,760,0.284547673
144754,F,760,0.309576958
144731,F,760,0.253871241
115475,F,760,0.248122724
18334,F,760,0.230798475
50600,F,760,0.269415828
144728,F,760,0.262472893
112272,F,760,0.254997596
144730,F,760,0.245681934
32958,G,860,0.250010712
33062,G,860,0.28215705
53626,G,860,0.232854092
57379,G,860,0.25006683
106846,G,860,0.242376999
106847,G,860,0.2381809
126143,G,860,0.26708693
144729,G,860,0.260492114
38086,H,940,0.250102897
38093,H,940,0.263266992
38085,H,940,0.24405849
38087,H,940,0.244110007
38095,H,940,0.24088458
38101,H,940,0.238043717
47666,H,940,0.244845183
47668,H,940,0.243113989
47864,H,940,0.244598565
47865,H,940,0.233988387
47866,H,940,0.229829816
67235,I,1080,0.247066605
35060,I,1080,0.26087288
35061,I,1080,0.252745018
35062,I,1080,0.262490947
35063,I,1080,0.265987211
35064,I,1080,0.245111802
35065,I,1080,0.243841704
35066,I,1080,0.238620944
35067,I,1080,0.239583046
35068,I,1080,0.2426437
35069,I,1080,0.257816185
35070,I,1080,0.267599535
35071,I,1080,0.252960208
35072,I,1080,0.25002392
65023,I,1080,0.236238551
65024,I,1080,0.246154933
65025,I,1080,0.247347518
72077,I,1080,0.235380224
72079,I,1080,0.249712249
34663,J,1140,0.254641154
38914,J,1140,0.26450792
38919,J,1140,0.258499429
38920,J,1140,0.249422648
38923,J,1140,0.247804546
38924,J,1140,0.266840167
38917,J,1140,0.256612476
38928,J,1140,0.282169964
